N,P,K,Temperature,Humidity,pH,Rainfall,Crop,Mixed_Crops,Organic_Fertilizer,Biopesticide,Agroforestry_Tree
100,114,150,30.0,74.2,5.8,860.0,papaya,Papaya+Drumstick,Panchagavya,Pseudomonas,Drumstick
130,56,137,27.8,46.1,5.7,1591.9,orange,Orange+Spices,Jeevamrutha,Trichoderma,Acacia
124,70,33,27.8,79.0,6.4,693.6,pigeonpeas,Pigeon Pea+Millet,Vermicompost,Trichoderma,Drumstick
107,49,192,33.8,30.8,4.6,444.8,mothbeans,Mothbean+Castor,Green Manure,Panchagavya Extract,Gliricidia
103,90,23,29.2,77.5,5.6,203.9,coffee,Coffee+Banana,Neem Cake,Garlic-Chili Extract,Neem
94,103,123,24.4,77.3,7.5,1290.6,pigeonpeas,Pigeon Pea+Millet,Bio-slurry,Bt Spray,Drumstick
110,16,49,16.4,44.8,6.9,988.2,orange,Orange+Spices,Farmyard Manure,Trichoderma,Gliricidia
57,85,80,17.8,55.4,6.3,351.9,orange,Orange+Spices,Neem Cake,Neem Oil,Casuarina
29,119,125,36.4,78.7,6.1,1405.6,lentil,Lentil+Mustard,Bio-slurry,Neem Oil,Gliricidia
93,48,103,39.5,74.0,5.6,504.3,apple,Apple+Medicinal Plants,Panchagavya,Garlic-Chili Extract,Leucaena
31,20,124,32.9,46.3,6.5,1619.6,blackgram,Blackgram+Maize,Green Manure,Pseudomonas,Drumstick
77,101,165,28.2,73.2,7.0,228.8,chickpea,Wheat+Gram,Green Manure,Neem Oil,Drumstick
41,8,33,18.8,52.2,8.3,600.0,jute,Jute+Rice,Panchagavya,Beauveria Bassiana,Leucaena
50,68,166,18.3,33.7,5.5,768.7,pigeonpeas,Pigeon Pea+Millet,Panchagavya,Bt Spray,Casuarina
68,111,63,33.6,38.1,8.3,1955.1,banana,Banana+Coffee,Jeevamrutha,Neem + Soap,Subabul
41,39,40,21.2,73.3,6.2,736.7,apple,Apple+Medicinal Plants,Jeevamrutha,Trichoderma,Sesbania
62,74,179,21.9,77.1,5.1,1864.2,pomegranate,Pomegranate+Marigold,Neem Cake,Neem + Soap,Neem
96,100,133,22.4,71.4,7.2,683.7,watermelon,Watermelon+Maize,Forest Leaf Compost,Beauveria Bassiana,Gliricidia
75,105,40,30.2,66.4,6.8,335.1,papaya,Papaya+Drumstick,Panchagavya,Beauveria Bassiana,Casuarina
89,19,134,28.6,44.0,7.6,1516.7,pomegranate,Pomegranate+Marigold,Green Manure,Neem Oil,Leucaena
99,74,118,19.7,59.3,6.3,559.9,cotton,Cotton+Turmeric,Neem Cake,Garlic-Chili Extract,Subabul
62,76,103,34.2,84.1,4.9,1162.7,apple,Apple+Medicinal Plants,Green Manure,Bt Spray,Subabul
106,76,77,39.1,79.3,6.0,1942.5,kidneybeans,Beans+Maize,Bio-slurry,Beauveria Bassiana,Leucaena
93,48,118,34.2,31.4,4.5,683.4,pigeonpeas,Pigeon Pea+Millet,Neem Cake,Neem + Soap,Subabul
59,45,53,32.5,70.9,6.2,501.7,lentil,Lentil+Mustard,Panchagavya,Beauveria Bassiana,Leucaena
98,58,162,35.6,57.3,6.8,677.3,maize,Maize+Beans,Forest Leaf Compost,Neem Oil,Leucaena
127,109,109,27.4,78.9,5.9,1047.4,chickpea,Wheat+Gram,Vermicompost,Pseudomonas,Sesbania
52,104,69,26.2,32.2,5.7,1750.4,coffee,Coffee+Banana,Bio-slurry,Panchagavya Extract,Subabul
69,50,55,19.9,56.3,7.2,778.1,orange,Orange+Spices,Farmyard Manure,Beauveria Bassiana,Drumstick
105,98,40,22.3,34.2,5.9,1976.0,coconut,Coconut+Pineapple,Neem Cake,Bt Spray,Casuarina
23,10,40,23.7,86.4,5.1,475.6,jute,Jute+Rice,Bio-slurry,Neem + Soap,Neem
121,68,62,16.6,69.8,5.3,516.6,mungbean,Mungbean+Sorghum,Jeevamrutha,Trichoderma,Sesbania
32,7,164,20.2,81.7,8.4,887.7,grapes,Grapes+Legumes,Jeevamrutha,Garlic-Chili Extract,Casuarina
23,11,89,21.3,61.7,7.1,1161.6,cotton,Cotton+Turmeric,Neem Cake,Beauveria Bassiana,Sesbania
28,15,196,33.0,88.0,6.4,1423.7,maize,Maize+Beans,Vermicompost,Bt Spray,Sesbania
29,42,144,33.4,47.0,7.0,1612.5,grapes,Grapes+Legumes,Bio-slurry,Trichoderma,Leucaena
132,78,137,26.4,31.8,7.3,771.8,rice,Rice+Sesbania,Forest Leaf Compost,Garlic-Chili Extract,Sesbania
10,59,134,16.5,88.3,7.8,1636.6,kidneybeans,Beans+Maize,Neem Cake,Pseudomonas,Gliricidia
16,28,38,32.3,77.9,6.3,768.4,coffee,Coffee+Banana,Farmyard Manure,Trichoderma,Neem
47,5,48,15.5,34.7,4.8,1219.3,mango,Mango+Turmeric,Panchagavya,Garlic-Chili Extract,Sesbania
93,27,150,15.2,79.9,6.7,1807.2,grapes,Grapes+Legumes,Vermicompost,Bt Spray,Subabul
23,103,154,37.5,77.7,7.6,375.0,rice,Rice+Sesbania,Forest Leaf Compost,Bt Spray,Drumstick
123,66,26,23.6,76.3,8.1,213.4,pigeonpeas,Pigeon Pea+Millet,Farmyard Manure,Pseudomonas,Gliricidia
45,27,133,30.8,57.0,6.2,417.4,rice,Rice+Sesbania,Forest Leaf Compost,Pseudomonas,Casuarina
10,102,92,37.8,69.2,7.0,1836.2,mungbean,Mungbean+Sorghum,Farmyard Manure,Pseudomonas,Gliricidia
36,26,59,38.5,39.1,5.1,1964.8,maize,Maize+Beans,Bio-slurry,Panchagavya Extract,Subabul
90,96,123,20.7,80.3,6.5,638.0,mungbean,Mungbean+Sorghum,Panchagavya,Beauveria Bassiana,Subabul
81,101,13,27.2,35.1,6.7,1268.7,grapes,Grapes+Legumes,Green Manure,Bt Spray,Leucaena
19,100,132,30.3,47.4,7.3,1941.9,papaya,Papaya+Drumstick,Jeevamrutha,Neem + Soap,Gliricidia
56,79,10,28.9,77.6,6.9,563.3,maize,Maize+Beans,Jeevamrutha,Pseudomonas,Casuarina
54,48,57,29.6,75.8,5.0,1790.9,rice,Rice+Sesbania,Forest Leaf Compost,Neem Oil,Sesbania
26,96,139,35.1,69.4,7.5,867.4,coffee,Coffee+Banana,Panchagavya,Trichoderma,Gliricidia
105,41,70,22.5,40.2,5.9,932.8,papaya,Papaya+Drumstick,Jeevamrutha,Neem + Soap,Subabul
90,119,126,36.3,53.9,6.4,817.8,cotton,Cotton+Turmeric,Forest Leaf Compost,Neem Oil,Sesbania
33,96,159,15.7,70.9,8.0,1828.5,lentil,Lentil+Mustard,Panchagavya,Beauveria Bassiana,Subabul
116,33,85,16.0,46.1,7.6,586.2,watermelon,Watermelon+Maize,Vermicompost,Garlic-Chili Extract,Casuarina
98,100,149,22.1,35.1,4.7,1470.6,orange,Orange+Spices,Neem Cake,Pseudomonas,Drumstick
60,86,111,39.5,69.5,6.7,1893.1,kidneybeans,Beans+Maize,Green Manure,Beauveria Bassiana,Casuarina
100,71,185,27.7,73.4,7.6,244.0,papaya,Papaya+Drumstick,Farmyard Manure,Garlic-Chili Extract,Casuarina
40,106,53,16.3,54.5,7.4,1082.5,kidneybeans,Beans+Maize,Green Manure,Neem Oil,Sesbania
44,100,110,34.2,85.8,6.9,1007.3,apple,Apple+Medicinal Plants,Forest Leaf Compost,Neem + Soap,Drumstick
96,33,77,35.1,59.3,6.0,1398.9,coconut,Coconut+Pineapple,Bio-slurry,Trichoderma,Sesbania
90,24,48,33.0,83.5,7.2,1032.5,apple,Apple+Medicinal Plants,Panchagavya,Garlic-Chili Extract,Subabul
43,48,12,20.2,43.3,6.4,953.6,mungbean,Mungbean+Sorghum,Jeevamrutha,Pseudomonas,Sesbania
106,98,127,17.5,59.0,5.5,1970.6,grapes,Grapes+Legumes,Vermicompost,Neem + Soap,Drumstick
48,68,59,26.9,33.6,4.6,676.8,blackgram,Blackgram+Maize,Panchagavya,Neem Oil,Sesbania
92,98,125,18.2,72.5,6.9,789.7,muskmelon,Muskmelon+Beans,Vermicompost,Panchagavya Extract,Neem
119,114,125,16.0,66.4,7.3,1463.5,pomegranate,Pomegranate+Marigold,Forest Leaf Compost,Bt Spray,Leucaena
41,95,187,29.4,39.0,8.0,1205.1,grapes,Grapes+Legumes,Green Manure,Garlic-Chili Extract,Subabul
110,51,196,23.0,80.0,6.9,458.7,mungbean,Mungbean+Sorghum,Vermicompost,Trichoderma,Neem
85,41,132,21.8,42.2,5.1,1358.5,orange,Orange+Spices,Jeevamrutha,Garlic-Chili Extract,Acacia
139,93,8,25.9,86.7,8.2,1345.6,kidneybeans,Beans+Maize,Neem Cake,Panchagavya Extract,Acacia
59,17,141,23.8,33.5,8.0,799.4,mungbean,Mungbean+Sorghum,Vermicompost,Garlic-Chili Extract,Sesbania
30,30,55,17.7,58.6,6.9,206.0,kidneybeans,Beans+Maize,Forest Leaf Compost,Trichoderma,Leucaena
52,98,183,20.2,52.2,7.1,928.5,cotton,Cotton+Turmeric,Panchagavya,Garlic-Chili Extract,Casuarina
71,86,112,23.7,51.7,5.8,1962.3,chickpea,Wheat+Gram,Neem Cake,Bt Spray,Casuarina
88,82,137,21.1,84.8,6.1,1551.3,maize,Maize+Beans,Panchagavya,Neem Oil,Neem
78,44,8,18.5,51.4,7.3,640.6,pomegranate,Pomegranate+Marigold,Neem Cake,Panchagavya Extract,Neem
98,41,135,31.1,64.5,4.8,1617.4,muskmelon,Muskmelon+Beans,Vermicompost,Garlic-Chili Extract,Drumstick
110,32,168,36.3,80.1,6.4,332.4,kidneybeans,Beans+Maize,Vermicompost,Neem + Soap,Neem
106,97,136,27.6,73.6,5.3,613.5,coconut,Coconut+Pineapple,Neem Cake,Neem Oil,Gliricidia
16,94,77,32.5,42.3,7.7,871.4,chickpea,Wheat+Gram,Vermicompost,Bt Spray,Drumstick
90,91,126,24.2,45.2,6.8,1400.5,grapes,Grapes+Legumes,Farmyard Manure,Panchagavya Extract,Casuarina
84,107,66,32.7,41.6,7.5,1254.5,watermelon,Watermelon+Maize,Forest Leaf Compost,Beauveria Bassiana,Acacia
59,22,137,26.6,86.6,6.1,1795.1,banana,Banana+Coffee,Farmyard Manure,Trichoderma,Subabul
17,28,38,20.7,34.0,6.9,1073.7,rice,Rice+Sesbania,Bio-slurry,Garlic-Chili Extract,Leucaena
123,44,126,24.2,58.5,5.3,1964.4,maize,Maize+Beans,Bio-slurry,Bt Spray,Drumstick
124,102,190,18.4,39.4,6.1,1249.4,rice,Rice+Sesbania,Bio-slurry,Bt Spray,Leucaena
121,45,11,32.4,40.4,7.2,652.6,blackgram,Blackgram+Maize,Farmyard Manure,Trichoderma,Gliricidia
42,106,111,33.1,51.6,8.0,1424.2,banana,Banana+Coffee,Vermicompost,Garlic-Chili Extract,Sesbania
38,59,64,34.3,70.7,6.3,620.8,muskmelon,Muskmelon+Beans,Bio-slurry,Neem + Soap,Neem
91,106,115,16.2,60.3,7.1,851.7,blackgram,Blackgram+Maize,Forest Leaf Compost,Pseudomonas,Leucaena
40,114,194,19.8,47.8,8.2,1148.3,rice,Rice+Sesbania,Forest Leaf Compost,Pseudomonas,Casuarina
132,62,133,18.5,65.0,5.2,668.2,watermelon,Watermelon+Maize,Forest Leaf Compost,Neem Oil,Subabul
134,102,173,25.3,89.2,6.1,1293.2,maize,Maize+Beans,Neem Cake,Pseudomonas,Subabul
111,70,176,26.7,39.9,5.7,688.4,chickpea,Wheat+Gram,Bio-slurry,Panchagavya Extract,Drumstick
125,102,77,38.9,88.6,5.7,1915.1,grapes,Grapes+Legumes,Vermicompost,Neem + Soap,Acacia
50,33,80,18.6,48.4,5.0,224.7,orange,Orange+Spices,Panchagavya,Beauveria Bassiana,Casuarina
26,106,9,24.6,67.3,5.2,1570.2,mango,Mango+Turmeric,Vermicompost,Bt Spray,Drumstick
52,110,17,19.0,33.4,6.4,1363.1,pomegranate,Pomegranate+Marigold,Bio-slurry,Panchagavya Extract,Gliricidia
29,11,54,20.8,45.1,4.9,783.0,apple,Apple+Medicinal Plants,Bio-slurry,Neem Oil,Neem
33,9,121,34.3,30.6,7.1,1442.7,blackgram,Blackgram+Maize,Green Manure,Neem Oil,Casuarina
123,71,77,29.6,70.6,4.7,1374.8,kidneybeans,Beans+Maize,Jeevamrutha,Bt Spray,Casuarina
11,59,89,32.3,76.1,7.9,1073.6,jute,Jute+Rice,Bio-slurry,Bt Spray,Leucaena
133,71,138,19.4,85.2,7.3,838.3,grapes,Grapes+Legumes,Green Manure,Beauveria Bassiana,Drumstick
79,61,42,19.1,45.6,5.7,1614.2,pomegranate,Pomegranate+Marigold,Jeevamrutha,Neem + Soap,Gliricidia
135,41,197,28.4,58.6,4.9,1809.5,papaya,Papaya+Drumstick,Neem Cake,Neem Oil,Subabul
25,19,178,15.8,84.0,7.0,1149.5,mango,Mango+Turmeric,Green Manure,Panchagavya Extract,Gliricidia
57,39,14,31.8,58.0,7.6,1052.6,watermelon,Watermelon+Maize,Farmyard Manure,Trichoderma,Casuarina
132,49,194,17.1,67.3,8.4,657.3,coffee,Coffee+Banana,Vermicompost,Bt Spray,Neem
58,45,69,26.5,82.2,6.9,1254.2,kidneybeans,Beans+Maize,Jeevamrutha,Pseudomonas,Subabul
91,21,194,25.2,74.3,7.9,1901.2,muskmelon,Muskmelon+Beans,Green Manure,Garlic-Chili Extract,Drumstick
82,61,114,29.4,40.9,5.0,1180.8,pigeonpeas,Pigeon Pea+Millet,Vermicompost,Neem + Soap,Subabul
109,71,79,27.7,36.5,6.3,1369.2,jute,Jute+Rice,Vermicompost,Garlic-Chili Extract,Subabul
91,69,179,29.0,70.7,5.2,1650.4,blackgram,Blackgram+Maize,Jeevamrutha,Trichoderma,Subabul
12,62,146,38.6,65.3,7.5,1633.3,chickpea,Wheat+Gram,Forest Leaf Compost,Panchagavya Extract,Drumstick
80,6,154,39.9,47.6,8.2,510.7,grapes,Grapes+Legumes,Green Manure,Trichoderma,Casuarina
124,27,87,29.6,48.6,4.6,1835.6,mothbeans,Mothbean+Castor,Panchagavya,Neem Oil,Drumstick
93,74,188,30.3,77.2,4.5,1496.9,cotton,Cotton+Turmeric,Forest Leaf Compost,Neem + Soap,Subabul
17,20,139,34.3,79.2,5.3,604.8,pomegranate,Pomegranate+Marigold,Forest Leaf Compost,Neem Oil,Sesbania
30,23,186,15.9,45.5,5.4,986.3,watermelon,Watermelon+Maize,Farmyard Manure,Pseudomonas,Casuarina
88,116,113,15.7,64.6,5.3,1347.2,chickpea,Wheat+Gram,Forest Leaf Compost,Neem Oil,Neem
55,23,17,30.7,89.2,5.0,337.8,grapes,Grapes+Legumes,Bio-slurry,Garlic-Chili Extract,Subabul
54,84,195,34.4,32.5,5.8,1077.8,jute,Jute+Rice,Neem Cake,Neem Oil,Gliricidia
136,32,74,20.3,41.1,7.0,279.6,mungbean,Mungbean+Sorghum,Forest Leaf Compost,Bt Spray,Gliricidia
101,29,56,18.8,64.6,7.9,673.7,mothbeans,Mothbean+Castor,Jeevamrutha,Bt Spray,Leucaena
99,104,162,29.6,88.4,6.8,1852.4,jute,Jute+Rice,Forest Leaf Compost,Neem + Soap,Neem
84,37,118,36.4,30.2,6.3,1024.4,papaya,Papaya+Drumstick,Vermicompost,Panchagavya Extract,Casuarina
105,5,112,16.7,44.5,5.7,1534.6,mungbean,Mungbean+Sorghum,Green Manure,Pseudomonas,Neem
98,33,167,24.8,88.5,8.2,1515.0,chickpea,Wheat+Gram,Vermicompost,Garlic-Chili Extract,Casuarina
19,45,92,33.5,40.6,7.4,1076.5,orange,Orange+Spices,Bio-slurry,Bt Spray,Drumstick
81,103,93,15.9,50.1,7.3,1348.9,lentil,Lentil+Mustard,Farmyard Manure,Trichoderma,Drumstick
42,60,110,15.1,76.7,7.4,1870.9,pomegranate,Pomegranate+Marigold,Vermicompost,Neem Oil,Leucaena
105,24,33,31.7,85.8,4.5,1854.0,coconut,Coconut+Pineapple,Forest Leaf Compost,Panchagavya Extract,Gliricidia
96,76,64,15.5,78.8,6.3,676.1,pomegranate,Pomegranate+Marigold,Forest Leaf Compost,Neem Oil,Subabul
117,8,170,18.3,70.5,5.7,1627.9,mango,Mango+Turmeric,Bio-slurry,Neem Oil,Leucaena
64,114,144,37.8,35.5,7.2,1358.7,orange,Orange+Spices,Neem Cake,Pseudomonas,Subabul
11,29,179,25.8,58.4,6.2,1181.8,mango,Mango+Turmeric,Neem Cake,Bt Spray,Acacia
39,75,132,29.3,66.1,5.7,1194.5,grapes,Grapes+Legumes,Jeevamrutha,Trichoderma,Sesbania
73,44,196,21.0,70.2,6.6,1130.3,rice,Rice+Sesbania,Neem Cake,Trichoderma,Acacia
93,45,146,28.3,52.9,6.6,1522.3,mothbeans,Mothbean+Castor,Panchagavya,Neem + Soap,Gliricidia
18,88,123,31.2,44.2,5.3,1077.6,pomegranate,Pomegranate+Marigold,Neem Cake,Neem Oil,Casuarina
127,77,86,32.6,37.7,5.1,914.2,mungbean,Mungbean+Sorghum,Neem Cake,Neem + Soap,Casuarina
85,29,15,29.1,34.7,7.3,1070.4,banana,Banana+Coffee,Panchagavya,Panchagavya Extract,Drumstick
30,100,26,17.2,41.4,7.5,275.4,maize,Maize+Beans,Panchagavya,Pseudomonas,Casuarina
71,117,132,31.5,38.5,7.4,1817.0,rice,Rice+Sesbania,Neem Cake,Beauveria Bassiana,Gliricidia
27,68,122,17.2,63.8,5.0,1131.2,apple,Apple+Medicinal Plants,Vermicompost,Pseudomonas,Drumstick
108,44,91,30.6,51.0,6.3,1416.7,papaya,Papaya+Drumstick,Vermicompost,Panchagavya Extract,Neem
123,73,61,21.6,67.9,6.1,1408.1,pomegranate,Pomegranate+Marigold,Vermicompost,Bt Spray,Drumstick
130,115,92,15.8,57.8,8.2,1860.4,watermelon,Watermelon+Maize,Vermicompost,Pseudomonas,Leucaena
12,94,12,21.1,40.7,7.7,645.3,mungbean,Mungbean+Sorghum,Bio-slurry,Trichoderma,Acacia
107,109,154,37.6,35.4,6.3,1358.4,pomegranate,Pomegranate+Marigold,Panchagavya,Trichoderma,Subabul
98,11,117,22.6,64.5,4.6,1788.3,jute,Jute+Rice,Jeevamrutha,Neem + Soap,Acacia
39,25,42,16.7,62.1,6.1,1621.4,papaya,Papaya+Drumstick,Jeevamrutha,Beauveria Bassiana,Gliricidia
119,102,151,28.1,59.8,6.7,1862.9,banana,Banana+Coffee,Farmyard Manure,Beauveria Bassiana,Acacia
102,93,124,21.4,51.7,6.9,604.1,jute,Jute+Rice,Farmyard Manure,Pseudomonas,Neem
95,95,50,35.9,56.9,7.6,666.1,banana,Banana+Coffee,Forest Leaf Compost,Pseudomonas,Drumstick
51,34,52,17.7,31.2,4.8,707.6,kidneybeans,Beans+Maize,Bio-slurry,Beauveria Bassiana,Leucaena
56,33,169,16.0,68.5,6.4,1076.5,mango,Mango+Turmeric,Farmyard Manure,Panchagavya Extract,Neem
115,93,11,18.5,35.8,7.5,1026.2,mungbean,Mungbean+Sorghum,Bio-slurry,Neem Oil,Drumstick
109,111,193,38.5,35.9,8.3,249.0,kidneybeans,Beans+Maize,Farmyard Manure,Pseudomonas,Drumstick
92,66,180,33.9,35.2,6.3,1571.8,rice,Rice+Sesbania,Vermicompost,Neem Oil,Leucaena
24,101,54,19.1,48.9,8.3,1108.8,pigeonpeas,Pigeon Pea+Millet,Vermicompost,Trichoderma,Casuarina
28,34,109,20.4,54.8,4.8,559.7,mothbeans,Mothbean+Castor,Bio-slurry,Pseudomonas,Gliricidia
